中文名,英文名,建议摄入量,不适宜人群,简介
湖北海棠叶|茶海棠叶,翻译暂缺,≤15克/天,孕妇、哺乳期妇女及婴幼儿不宜食用。,暂无介绍
蝙蝠蛾被毛孢,翻译暂缺,暂无数据,均适宜,暂无介绍
蝙蝠蛾拟青霉,翻译暂缺,暂无数据,均适宜,蝙蝠蛾拟青霉是Paecilomyces属的微生物，原产地为中国。
产朊假丝酵母,Candida utilis,暂无数据,均适宜,产朊假丝酵母（Candida utilis）又叫产朊圆酵母或食用圆酵母。其蛋白质和维生素B的含量都比啤酒酵母高，它能以尿素和硝酸作为氮源，在培养基中不需要加入任何生长因子即可生长。它能利用五碳糖和六碳糖，有氧条件下不产酒精，既能利用造纸工业的亚硫酸废液，还能利用糖蜜、木材水解液等生产出人畜可食用的蛋白质。
德氏乳杆菌保加利亚种,翻译暂缺,暂无数据,均适宜,暂无介绍
短双岐杆菌,翻译暂缺,暂无数据,均适宜,暂无介绍
副干酪乳杆菌,Lactobacillus paracasei,暂无数据,均适宜,副干酪乳杆菌经发酵培养、离心、急速冷冻、干燥、包装等步骤生产而成。
干酪乳杆菌干酪亚种,翻译暂缺,暂无数据,均适宜,干酪乳杆菌干酪亚种用于实验和科研检测用，属于菌株类。
红曲霉,翻译暂缺,暂无数据,均适宜,红曲霉 （Monascus purpureus Went.） 中文别名 红曲、红糟、红大米。散囊菌目中的一属子囊菌曲霉科真菌。存在于树木、土壤和堆积物等。在麦芽汁琼脂培养基上生长良好，菌落初为白色，老熟后变成淡粉色、紫色或灰黑色。多形成红色。
卡氏酵母,翻译暂缺,暂无数据,均适宜,暂无介绍
两岐双岐杆菌,翻译暂缺,暂无数据,均适宜,暂无介绍
灵芝,翻译暂缺,暂无数据,均适宜,灵芝（学名：Ganoderma lucidum (Curtis) P. Karst.）是灵芝科、灵芝属真菌。灵芝子实体大多为一年生，少数为多年生，有柄，小柄侧生。菌盖木质，木栓质，扇形，具沟纹，肾形、半圆形或近圆形，表面褐黄色或红褐色，血红至栗色，有时边缘逐渐变成淡黄褐色至黄白色，具似漆样光泽，盖表有同心环沟，边缘锐或稍钝，往往内卷。菌肉白色至淡褐色，接近菌管处常成淡褐色，菌管小，管孔面淡白色，白肉桂色，淡褐色至淡黄褐色，管口近圆形，菌柄侧生、偏生或中生，近圆柱形，有较强的漆样光泽。担孢子卵形或顶端平截，双层壁，外壁透明、平滑，内壁褐色或淡褐色，具小刺，中央具一油滴。
罗伊氏乳杆菌,Lactobacillus reuteri,暂无数据,均适宜,罗伊氏乳杆菌(Lactobacillus reuteri)是已报道的几乎天然存在于所有脊椎动物和哺乳动物肠道内的乳酸菌。罗伊氏乳杆菌对肠黏膜具有很强的黏附能力，可改善肠道菌群分布，拮抗有害菌定植，避免罹患肠道疾病;罗伊氏乳杆菌能产生一种被称为“罗伊氏菌素(Reuterin)”的非蛋白质类广谱抗菌物质，能广泛抑制革兰氏阳性菌、革兰氏阴性菌、酵母、真菌和病原虫等的生长。罗伊氏乳杆菌益生菌制剂可改善人体机能，提高免疫力从而促进人体健康。我国卫生部于2003年批准了罗伊氏乳杆菌可作为人类保健品的微生物菌种，且该菌已是国际上公认的新型益生乳酸菌，具有很高的理论研究和生产应用价值。
酿酒酵母,翻译暂缺,暂无数据,均适宜,酿酒酵母（Saccharomyces cerevisiae），又称面包酵母或者出芽酵母。酿酒酵母是与人类关系最广泛的一种酵母，用于制作面包和馒头等食品及酿酒。酿酒酵母的细胞为球形或者卵形，直径5-10μm。其繁殖的方法为出芽生殖。酿酒酵母与同为真核生物的动物和植物细胞具有很多相同的结构，又容易培养，酵母被用作研究真核生物的模式生物。 酿酒酵母被认为是最具潜力的大规模生产菌种。野生型酿酒酵母的主产物为乙醇。
青春双岐杆菌,翻译暂缺,暂无数据,均适宜,暂无介绍
乳酸克鲁维酵母,翻译暂缺,暂无数据,均适宜,乳酸克鲁维酵母（Kluyveromyces lactis）是克鲁维酵母属下的一种酵母菌，研究开始于上世纪50年化末。当时获得的大部分该酵母菌株都分离自系列的牛奶制品中，如马奶酒、希腊奶酪等乳制品。Vander Walt首先在1956年创建了克鲁维酵母属，乳酸克鲁维酵母的名称是为了纪念荷兰微生物学家Albert Jan Kluyver(1888-1956)而命名的。
嗜热链球菌,翻译暂缺,暂无数据,均适宜,嗜热链球菌和布氏乳杆菌都是制作酸奶的必需材料。研究表明这种细菌只能到达小肠的上半部，而不像双歧杆菌那样可以去到大肠。科学家认为活的的酸奶菌（嗜热链球菌和布氏乳杆菌）都能帮助乳糖不耐受的人们消化乳糖，因为这两种菌都能可以产生乳糖酶。
松杉灵芝,翻译暂缺,暂无数据,均适宜,松杉灵芝，别名铁杉灵芝，是非褶菌目灵芝科灵芝属真菌。其生长在落叶松的树干基部，分布于我国温寒带长白山地区，具有一定的药用价值。
婴儿双岐杆菌,翻译暂缺,暂无数据,均适宜,革兰氏阳性，短杆，两端着色，无鞭毛，无芽孢，菌落圆形，乳白色，边缘整齐，化能异养性，厌氧，不液化明胶，可利用乳糖，木糖，甘露糖，棉子糖，蔗糖，果糖，麦芽糖，蜜二糖。接触酶阴性，氧化酶阴性，耐酸，喜温，生长温度25-45℃.
长双岐杆菌,翻译暂缺,暂无数据,均适宜,长双岐杆菌
植物乳杆菌,翻译暂缺,暂无数据,均适宜,"植物乳杆菌是乳酸菌的一种，最适生长温度为30~35,厌氧或兼性厌氧,菌种为直或弯的杆状，单个、有时成对或成链状，最适pH 6. 5左右，属于同型发酵乳酸菌。此菌与其他乳酸菌的区别在于此菌的活菌数比较高，能大量的产酸，使水中的PH值稳定不升高，而且其产出的酸性物质能降解重金属；由于此菌是厌氧细菌（兼性好氧），在繁殖过程中能产出特有的乳酸杆菌素，乳酸杆菌素是一种生物型的防腐剂。在养殖中后期，由于动物的粪便和残饵料增加，会下沉到池塘的底部，并且腐烂，滋生很多病菌，生成大量的氨氮和亚硝酸盐，使底部偷死现象严重。如果长期使用植物乳酸杆菌，就能很好的抑制底部粪便和残饵料的腐烂，也就降低了氨氮和亚硝酸盐的增加，大量减少了化工降解素的用量，使养殖成本降低。"
植物乳杆菌,翻译暂缺,暂无数据,均适宜,"植物乳杆菌是乳酸菌的一种，最适生长温度为30~35,厌氧或兼性厌氧,菌种为直或弯的杆状，单个、有时成对或成链状，最适pH 6. 5左右，属于同型发酵乳酸菌。此菌与其他乳酸菌的区别在于此菌的活菌数比较高，能大量的产酸，使水中的PH值稳定不升高，而且其产出的酸性物质能降解重金属；由于此菌是厌氧细菌（兼性好氧），在繁殖过程中能产出特有的乳酸杆菌素，乳酸杆菌素是一种生物型的防腐剂。在养殖中后期，由于动物的粪便和残饵料增加，会下沉到池塘的底部，并且腐烂，滋生很多病菌，生成大量的氨氮和亚硝酸盐，使底部偷死现象严重。如果长期使用植物乳酸杆菌，就能很好的抑制底部粪便和残饵料的腐烂，也就降低了氨氮和亚硝酸盐的增加，大量减少了化工降解素的用量，使养殖成本降低。"
紫红曲霉,,暂无数据,均适宜,紫红曲霉（Monascus purpureus）是一种腐生真菌，因其能产大量的天然红色素而受到广泛关注，一般存在于树木、土壤和堆积物等环境中。从分类学上来讲，紫红曲霉属于真菌界（Fungi），子囊菌门 （Ascomycota），子囊菌纲 （Ascomycetes），散囊菌目 （Eurotiales），红曲霉科（Monascaceae），红曲霉属（Monascus）。红曲霉属包含有多个菌种，其中，由中国科学院微生物研究所和轻工部食品研究所正式收集编目的8种重要红曲霉便包含了紫红曲霉。紫红曲霉嗜酸，能耐pH3.5，其生长的温度范围为26-42℃。
紫芝,翻译暂缺,暂无数据,均适宜,"紫灵芝（学名：Ganoderma sinense J.D. Zhao, L.W. Hsu & X.Q. Zhang）是灵芝科、灵芝属真菌。担子果一年生，有柄。菌盖半圆形、近圆形或近匙形，表面紫褐色、紫黑色到近黑色；边缘薄或钝，常近似截形，与菌盖同色或较淡或呈淡黄褐色；菌肉呈均匀的褐色到深褐色；菌管褐色、深褐色或灰褐色。菌柄侧生、背侧生或偏生，圆柱形或略扁平。皮壳构造呈典型的拟子实层型，淡褐色到褐色。菌丝系统三体型。担孢子卵圆形，顶端脐突或稍平截，双层壁，外壁无色透明，平滑，内壁淡褐色，具明显小刺。"
桑叶提取物,Mulberry Leaf,暂无数据,均适宜,桑叶提取物以春蚕后期或霜降前桑树枝条上的第1～3位新叶加工的桑叶粉为原料，阴干，粉碎，分别用正丁醇、90%乙醇和水加温浸提，并喷雾干燥而得。
维生素E琥珀酸钙,翻译暂缺,4-6岁人群，每日用量最低值1.5mg（以d-α-生育酚计），最高值9.0mg（以d-α-生育酚计）；,均适宜,暂无介绍
dl -α-生育酚,翻译暂缺,4-6岁人群，每日用量最低值1.5mg（以d-α-生育酚计），最高值9.0mg（以d-α-生育酚计）；,均适宜,暂无介绍
dl -α-醋酸生育酚,翻译暂缺,4-6岁人群，每日用量最低值1.5mg（以d-α-生育酚计），最高值9.0mg（以d-α-生育酚计）；,均适宜,暂无介绍
D-α-琥珀酸生育酚,翻译暂缺,4-6岁人群，每日用量最低值1.5mg（以d-α-生育酚计），最高值9.0mg（以d-α-生育酚计）；,均适宜,暂无介绍
D-α-醋酸生育酚,翻译暂缺,4-6岁人群，每日用量最低值1.5mg（以d-α-生育酚计），最高值9.0mg（以d-α-生育酚计）；,均适宜,暂无介绍
D-α-生育酚,D-alpha-Tocopherol,4-6岁人群，每日用量最低值1.5mg（以d-α-生育酚计），最高值9.0mg（以d-α-生育酚计）；,均适宜,D-α-生育酚为浅黄色粘稠油状液体，无臭无味。不溶于水，易溶于乙醇、乙醚、丙酮、氯仿和油脂。分子式是C29H50O2。密度：0.93。熔点：2.5-3.5oC。沸点：200-220oC (0.07501 mmHg)。闪点：253oC。由1，2，4-三甲苯为原料经碘化、硝化、还原、氧化得2，3，5-三甲基苯醌，然后还原、与叶绿醇等缩合制得。
D-泛酸钙,D-Calcium Pantothenate,1-3岁人群，每日用量最低值0.4mg（以泛酸计），最高值2.0mg（以泛酸计）；,均适宜,右旋冷酸钙，药品名。其性状为白色或微黄色结晶粉末，无臭，味甜而后稍有苦味，主要用于饲料添加剂、食品添加剂和医药行业中的片剂、胶囊、口服液、冲剂等各类制剂。右旋泛酸钙进入动物或人体后，能在体内参与基本代谢功能，参与脂肪酸的合成，降解并释放出大量能量，促进那些对病原体有抵抗力的抗体的合成，促进动物或人体对各种营养物质的吸收和利用。
维生素K2（发酵法）,翻译暂缺,4-6岁人群，每日用量最低值10μg（以七烯甲萘醌计），最高值60μg（以七烯甲萘醌计）；,均适宜,暂无介绍
维生素K1,Vitamin K1,4-6岁人群，每日用量最低值10μg（以植物甲萘醌计），最高值60μg（以植物甲萘醌计）；,均适宜,"维生素K1，又名植物甲萘醌、叶绿基甲萘醌、叶绿醌，化学名称为2-甲基-3-植醇基-1,4-萘醌，是一种多环芳香酮，是一种脂溶性维生素，对空气和潮湿稳定，但在阳光下会被分解。在天然绿色植物中广泛存在。"
抗坏血酸棕榈酸酯,6-O-palmitoyl-L-ascorbic acid,4-6岁人群，每日用量最低值10mg（以L-抗坏血酸计），最高值100mg（以L-抗坏血酸计）；,均适宜,抗坏血酸棕榈酸酯为棕榈酸与L-抗坏血酸等天然成分酯化而成，其化学式为C22H38O7，是一种高效的氧清除剂和增效剂，被世界卫生组织（WHO）食品添加剂委员会评定为具有营养性、无毒、高效、使用安全的食品添加剂，是中国唯一可用于婴幼儿食品的抗氧化剂，本品用于食品可起到抗氧化、食品（油脂）护色、营养强化等功效。
L-抗坏血酸钙,As - Ca; Ascalan;L 一Ascorbic acid calcium salt,1-3岁人群，每日用量最低值6mg（以L-抗坏血酸计），最高值60mg（以L-抗坏血酸计）；,均适宜,"Vc-Ca为白色或淡黄色结晶性粉末,无气味，易溶于水。,实验证明，它不仅比Vc稳定,而且吸收效果好。在体内具有Vc的全部作用,其抗氧化作用优于Vc,且由于Ca的引入，也增强了它的营养强化作用。"
L-抗坏血酸钠,翻译暂缺,1-3岁人群，每日用量最低值6mg（以L-抗坏血酸计），最高值60mg（以L-抗坏血酸计）；,均适宜,L-抗坏血酸钠，分子式为C6H7O6Na，相对分子质量为是由L-抗坏血酸与碳酸氢钠(或碳酸钠)反应制得。其抗氧化作用与L-抗坏血酸相同。在不适宜添加酸性物质的食品中可使用本品，例如牛乳等制品 。
L-抗坏血酸,Vitamin C,1-3岁人群，每日用量最低值6mg（以L-抗坏血酸计），最高值60mg（以L-抗坏血酸计）；,均适宜,"维生素C是一种水溶性维生素，化学命名为L-(+)-苏阿糖型2,3,4,5,6-五羟基-2-己烯酸-4-内酯，又名L-抗坏血酸，分子式为C6H8O6，分子量为176.12。 [1-2]  "
酒石酸胆碱,choline bitartrate,1-3岁人群，每日用量最低值40mg（以胆碱计），最高值240mg（以胆碱计）；,均适宜,酒石酸氢胆碱是一种白色、吸潮性结晶粉末，有酸味，无臭或有不愉快的三甲胺臭；易溶于水，微溶于乙醇，不溶于氯仿、乙醚及苯，可以自制。
D-生物素,翻译暂缺,1-3岁人群，每日用量最低值3μg（以生物素计），最高值15μg（以生物素计）；,均适宜,暂无介绍
叶酸,folic acid,1-3岁人群，每日用量最低值30μg（以叶酸计），最高值150μg（以叶酸计）；,均适宜,叶酸是一种水溶性维生素，分子式是C19H19N7O6。因绿叶中含量十分丰富而得名，又名蝶酰谷氨酸。在自然界中有几种存在形式，其母体化合物是由蝶啶、对氨基苯甲酸和谷氨酸3种成分结合而成。
烟酰胺,Nicotinamide,1-3岁人群，每日用量最低值1.0mg（以烟酰胺计），最高值7.0mg（以烟酰胺计）；,均适宜,烟酰胺（nicotinamide；niacinamide），又称尼克酰胺，是烟酸的酰胺化合物。为白色的结晶性粉末；无臭或几乎无臭，味苦；略有引湿性。在水或乙醇中易溶，在甘油中溶解。临床上主要用于防治糙皮病、口炎、舌炎，病态窦房结综合征，房室传导阻滞等问题。
烟酸,Fat-soluble vitamin,1-3岁人群，每日用量最低值1.0mg（以烟酸计），最高值5.0mg（以烟酸计）；,均适宜,烟酸，化学名称吡啶-3-甲酸，是一种有机化合物，化学式为C6H5NO2，为白色结晶性粉末，主要存在于动物内脏、肌肉组织，水果、蛋黄中也有微量存在，是人体必需的13种维生素之一。烟酸主要用于饲料添加剂，可提高饲料蛋白的利用率，提高奶牛产奶量及鱼、鸡、鸭、牛、羊等禽畜肉产量和质量。烟酸还是一种应用广泛的医药中间体，以其为原料，可以合成多种医药，如尼可刹米和烟酸肌醇酯等。此外，烟酸还在发光材料、染料、电镀行业等领域发挥着不可替代的作用。
氰钴胺,翻译暂缺,1-3岁人群，每日用量最低值0.2μg（以钴胺素计），最高值1.0μg（以钴胺素计）；,均适宜,氰钴胺素是维生素B复合物之一，有强力抗恶性贫血的作用。是对细菌和动物发育所不可缺少的因子维生素B12的结晶所赋予的名称。除含C，H，O，N外，还含有P、Co，为5， 6-二甲基苯并咪唑（dimethe-rbenzimidazole）的a-D-核糖结合体为其结构的一部分。A．R．Todd等提出了结构式，由于氰基是配位于钴上，所以称为氰钴胺素。在水溶液中最大吸收是278，361，548毫微米。1948年美国的E．L．Rickes和英国的E．L．Smith等，各自独立地从肝脏中提取得到结晶。此后，从某种放线菌（StrePtomyces griseum）中也获得了这种物质。
盐酸吡哆醇,Vitamin B6,1-3岁人群，每日用量最低值0.1mg（以吡哆醇计），最高值0.6mg（以吡哆醇计）；,均适宜,白色或类白色的结晶或结晶性粉末；无臭，味酸苦；遇光渐变质。在水中易溶，在乙醇中微溶。水溶液呈微酸性反应。吡哆醇是醇式维生素，是较稳定的一种结构，在酸性或碱性溶液中可耐热。
核黄素5’-磷酸钠,翻译暂缺,1-3岁人群，每日用量最低值0.1mg（以核黄素计），最高值0.6mg（以核黄素计）；,均适宜,暂无介绍
核黄素,Vitamin B2,1-3岁人群，每日用量最低值0.1mg（以核黄素计），最高值0.6mg（以核黄素计）；,均适宜,维生素B2，又叫核黄素，是B族维生素的一种，微溶于水，在中性或酸性溶液中加热是稳定的。为体内黄酶类辅基的组成部分，如缺乏可影响机体的生物氧化，使代谢发生障碍。病变多表现为口、眼和外生殖器部位的炎症，如口角炎、唇炎、舌炎、眼结膜炎和阴囊炎等，故本品常用于上述疾病的防治。体内维生素B2的储存是很有限的，需每天都要由饮食提供补充。维生素B2的两个性质是造成其损失的主要原因：（1）可被光破坏；（2）在碱溶液中加热可被破坏。
硝酸硫胺素,Thiamine Nitrate,1-3岁人群，每日用量最低值0.1mg（以硫胺素计），最高值0.6mg（以硫胺素计）；,均适宜,硝酸硫胺素（Thiamine Nitrate）别名硫胺素硝酸盐、维生素B1硝酸盐，是一种化学物质，白色至微黄色结晶或结晶性粉末。用于米、面、糕点、酱油等中，也用于医药。
盐酸硫胺素,Vitamin B1,1-3岁人群，每日用量最低值0.1mg（以硫胺素计），最高值0.6mg（以硫胺素计）；,均适宜,维生素B1（Vitamin B1，VB1）又称硫胺素，是最早被人们提纯的水溶性维生素，化学名为氯化3-[（4-氨基-2-甲基-5-嘧啶基）-甲基]-5-（2-羟乙基）-4-甲基噻唑鎓盐酸盐，具有维持正常糖代谢的作用。
维生素D3,Vitamin D3,1-3岁人群，每日用量最低值2.0μg（以胆钙化醇计），最高值10.0μg（以胆钙化醇计）；,均适宜,维生素D3，又名胆钙化醇，是维生素D的一种，胆固醇脱氢后生成的7-脱氢胆固醇经紫外线照射即可形成胆钙化醇，因此也就是说胆钙化醇的维生素D原是7-脱氢胆固醇。
维生素D2,Vitamin D2,1-3岁人群，每日用量最低值2.0μg（以麦角钙化醇计），最高值10.0μg（以麦角钙化醇计）；,均适宜,维生素D2，化学名为麦角钙化醇（Ergocalciferol），是甾体在光化学作用下发生化学键断裂所形成的开环甾体，特别是可以通过紫外线和麦角固醇作用下产生。早期制备的麦角钙化醇也被称为Viosterol。根据美国2011年的诊断指南，麦角钙化醇也许可以作为饮食补充剂来补充维生素D，麦角钙化醇和皮肤在紫外线照射下产生的胆钙化醇（维生素D3）同样有效。麦角钙化醇的商品有多种名称。维生素D2由小肠吸收，其吸收需胆盐与特殊α-球蛋白结合后转运到身体其他部位，贮存于肝和脂肪。代谢、活化首先通过肝脏，其次为肾脏。作用开始时间为12~24小时，治疗效应需10~14天。
β-胡萝卜素,,1-3岁人群，每日用量最低值50μg（以视黄醇计），最高值300μg（以视黄醇计）；,均适宜,β-胡萝卜素（C40H56）是类胡萝卜素之一，是一种橘黄色的脂溶性化合物，它是自然界中最普遍存在也是最稳定的天然色素。 属于天然化学物（例如胡萝卜素或类胡萝卜素）家庭的一员。它在植物中大量地存在，令水果和蔬菜拥有了饱满的黄色和橘色。 纯品外观为红紫色至暗红色结晶性粉末，略有特异臭味。 β-胡萝卜素稀溶液呈橙黄色，易溶于二氯甲烷、氯仿、二硫化碳等有机溶剂。 溶液浓度增大时带橙色，因溶剂的极性可稍带红色。遇氧、热及光不稳定。在弱碱中较稳定。
棕榈酸视黄酯,Vitamin A Palmitate,1-3岁人群，每日用量最低值50μg（以视黄醇计），最高值300μg（以视黄醇计）；,均适宜,棕榈酸视黄酯（Vitamin A Palmitate）是一种化学物质，CAS号：79-81-2，分子量：524.86，PSA：26.30，LogP：11.54，密度：0.92 g/cm3，沸点：607.5oC at 760 mmHg。
醋酸视黄酯,翻译暂缺,1-3岁人群，每日用量最低值50μg（以视黄醇计），最高值300μg（以视黄醇计）；,均适宜,暂无介绍
葡萄糖酸铜,Copper Gluconate,4-6岁人群，每日用量最低值0.1mg（以Cu计），最高值0.3mg（以Cu计）；,均适宜,葡萄糖酸铜 （Copper Gluconate），分子式Cu(C6H11O7)2分子量，453.84，淡蓝色粉末。
硫酸铜,Cupric sulfate,4-6岁人群，每日用量最低值0.1mg（以Cu计），最高值0.3mg（以Cu计）；,均适宜,硫酸铜是一种无机化合物，化学式为CuSO?，无水硫酸铜为白色或灰白色粉末。
L-硒-甲基硒代半胱氨酸,3-(Methylseleno)-L-alanine,4-6岁人群，每日用量最低值5μg（以Se计），最高值30μg（以Se计）；,均适宜,3-(甲基硒基)-L-丙氨酸，是一种有机化合物，化学式为C4H9NO2Se。
富硒酵母,Selenium enriched yeast,4-6岁人群，每日用量最低值5μg（以Se计），最高值30μg（以Se计）；,均适宜,富硒酵母就是在培养酵母的过程中加入硒元素，酵母生长时吸收利用了硒，使硒与酵母体内的蛋白质和多糖有机结合转化为生物硒，从而消除了化学硒（如亚硒酸钠）对人体的毒副反应和肠胃刺激，使硒能够更高效、更安全地被人体吸收利用。
亚硒酸钠,Sodium selenite,4-6岁人群，每日用量最低值5μg（以Se计），最高值30μg（以Se计）；,均适宜,亚硒酸钠，是一种无机化合物，化学式为Na2SeO3。
乳酸锌,Zinc lactate,1-3岁人群，每日用量最低值0.8mg（以Zn计），最高值3.0mg（以Zn计）；,均适宜,乳酸锌（Zinc lactate）是一种有机盐，分子式为C6H10O6Zn，分子量为243.53，锌元素含量占乳酸锌的22.2%。
氧化锌,Zinc oxide,1-3岁人群，每日用量最低值0.8mg（以Zn计），最高值3.0mg（以Zn计）；,均适宜,氧化锌，是一种无机化合物，化学式为ZnO，是锌的一种氧化物，不溶于水、乙醇，溶于酸、氢氧化钠水溶液、氯化铵，是一种常用的化学添加剂，广泛地应用于塑料、硅酸盐制品、合成橡胶、润滑油、油漆涂料、药膏、粘合剂、食品、电池、阻燃剂等产品的制作中。氧化锌的能带隙和激子束缚能较大，透明度高，有优异的常温发光性能，在半导体领域的液晶显示器、薄膜晶体管、发光二极管等产品中均有应用。此外，微颗粒的氧化锌作为一种纳米材料也开始在相关领域发挥作用。
葡萄糖酸锌,Zinc Gluconate,1-3岁人群，每日用量最低值0.8mg（以Zn计），最高值3.0mg（以Zn计）；,均适宜,葡萄糖酸锌，化学式为C12H22O14Zn，是葡萄糖酸的锌盐，常温下为白色结晶或颗粒性粉末，无臭，味微涩，在沸水中极易溶解，在水中溶解，在无水乙醇、三氯甲烷或乙醚中不溶。临床上适用于小儿厌食症、各种皮肤痤疮、复发性阿弗口腔溃疡等缺锌性疾病。
柠檬酸锌（三水）,翻译暂缺,1-3岁人群，每日用量最低值0.8mg（以Zn计），最高值3.0mg（以Zn计）；,均适宜,暂无介绍
柠檬酸锌,Zinc Citrate,1-3岁人群，每日用量最低值0.8mg（以Zn计），最高值3.0mg（以Zn计）；,均适宜,枸橼酸锌，是一种有机化合物，化学式为C12H14O16Zn3，主要用作补锌药。
硫酸锌,Zinc Sulfate,1-3岁人群，每日用量最低值0.8mg（以Zn计），最高值3.0mg（以Zn计）；,均适宜,硫酸锌是一种无机化合物，化学式为ZnSO4，无色或白色结晶、颗粒或粉末。
琥珀酸亚铁,"butanedioate,iron(2+)",4-6岁人群，每日用量最低值2.0mg（以Fe计），最高值8.0mg（以Fe计）；,均适宜,琥珀酸亚铁用于治疗缺铁性贫血。
乳酸亚铁,Ferrous lactate,4-6岁人群，每日用量最低值2.0mg（以Fe计），最高值8.0mg（以Fe计）；,均适宜,乳酸亚铁是一种有机物，化学式为C6H10FeO6，绿白色结晶性粉末或结晶。稍有异臭，略有甜的金属味。本品受潮或其水溶液氧化后变为含正铁盐的黄褐色。光照可促进氧化。铁离子与其他食品添加剂反应易着色。溶于水，成带绿色的透明液体，呈酸性。几乎不溶于乙醇。
硫酸亚铁,Ferrous sulfate,1-3岁人群，每日用量最低值1.5mg（以Fe计），最高值7.0mg（以Fe计）；,均适宜,硫酸亚铁是一种无机物，化学式为FeSO4，外观为白色粉末无气味。其结晶水合物为在常温下为七水合物，俗称“绿矾”，浅绿色晶体，在干燥空气中风化，在潮湿空气中表面氧化成棕色的碱式硫酸铁，在56.6℃成为四水合物，在65℃时成为一水合物。硫酸亚铁可溶于水，几乎不溶于乙醇。其水溶液冷时在空气中缓慢氧化，在热时较快氧化。加入碱或露光能加速其氧化。相对密度(d15)1.897。 有刺激性。硫酸亚铁可用于色谱分析试剂、点滴分析测定铂、硒、亚硝酸盐和硝酸盐。硫酸亚铁还可以作为还原剂、制造铁氧体、净水、聚合催化剂、照相制版等。
富马酸亚铁,Iron(II) fumarate,1-3岁人群，每日用量最低值1.5mg（以Fe计），最高值7.0mg（以Fe计）；,均适宜,富马酸亚铁是治疗贫血药物的一种。提高抗应激能力和抗病能力，与各种营养物质、抗生素相容性好，具有协同作用。能有效避免添加无机铁对维生素等活性物质的破坏。
葡萄糖酸亚铁,Ferrous Gluconate,1-3岁人群，每日用量最低值1.5mg（以Fe计），最高值7.0mg（以Fe计）；,均适宜,葡萄糖酸亚铁，分子式为C12H22O14Fe·2H2O，相对分子质量为482.18。在食品中可用作护色剂、营养强化剂，可由还原铁中和葡萄糖酸而成。葡萄糖酸亚铁的特点是生物利用率高，在水中溶解性好，风味平和无涩味，在乳饮料中强化较多，但也容易引起食品色泽和风味变化，一定程度上限制了其应用 。
葡萄糖酸锰,翻译暂缺,4-6岁人群，每日用量最低值0.3mg（以Mn计），最高值1.5mg（以Mn计）；,均适宜,C12H22MnO14·2H2O二水
硫酸锰,Manganese sulphate,4-6岁人群，每日用量最低值0.3mg（以Mn计），最高值1.5mg（以Mn计）；,均适宜,硫酸锰，是一种无机化合物，化学式为MnSO4，常用作微量分析试剂、媒染剂和油漆干燥剂。
碳酸钾,Potassium carbonate,4-6岁人群，每日用量最低值250mg（以K计），最高值1200mg（以K计）；,均适宜,碳酸钾是一种无机物，化学式为K2CO3，分子量为138.206，呈白色结晶粉末，密度2.428g/cm3，熔点891℃。易溶于水，水溶液呈碱性，不溶于乙醇、丙酮和乙醚。吸湿性强，暴露在空气中能吸收二氧化碳和水分，转变为碳酸氢钾，应密封包装。
柠檬酸钾,Potassium citrate,4-6岁人群，每日用量最低值250mg（以K计），最高值1200mg（以K计）；,均适宜,柠檬酸钾，是一种有机化合物， 化学式为C6H5K3O7，为白色结晶性粉末，易溶于水和甘油，不溶于乙醇，主要作防腐剂、稳定剂和pH缓冲剂等。
氯化钾,Potassium chloride,4-6岁人群，每日用量最低值250mg（以K计），最高值1200mg（以K计）；,均适宜,氯化钾是一种无机化合物，化学式为KCl，外观如同食盐，无臭、味咸。常用于低钠盐、矿物质水的添加剂。氯化钾是临床常用的电解质平衡调节药，临床疗效确切，广泛运用于临床各科。
磷酸二氢钾,Potassium dihydrogen phosphate,4-6岁人群，每日用量最低值250mg（以K计），最高值1200mg（以K计）；,均适宜,磷酸二氢钾，是一种无机化合物，化学式为KH2PO4，有潮解性，加热至400℃时熔化而成透明的液体，冷却后固化为不透明的玻璃状偏磷酸钾。空气中稳定，溶于水，不溶于乙醇。工业上用作缓冲剂、培养剂，也用作细菌培养剂合成清酒的调味剂，制偏磷酸钾的原料，酿造酵母的培养剂、强化剂、膨松剂、发酵助剂，农业上用作高效磷钾复合肥。
磷酸氢二钾,Dipotassium hydrogenphosphate,4-6岁人群，每日用量最低值250mg（以K计），最高值1200mg（以K计）；,均适宜,磷酸氢二钾，是一种无机化合物，化学式为K2HPO4，为白色结晶性或无定形粉末，易溶于水，微溶于醇，主要用作防冻剂的缓蚀剂、抗生素培养基的营养剂、发酵工业的磷钾调节剂、饲料添加剂等。
L-苏糖酸镁,"Bis[(2R,3S)-2,3,4-trihydroxybutanoato-alphaO,alphaO']magnesium",4-6岁人群，每日用量最低值30mg（以Mg计），最高值200mg（以Mg计）；,均适宜,L-苏糖酸镁（简称 MgT，发音为“Mag T”），是一种化学物质。刘国松教授与清华大学和麻省理工团队共同发现。
